userid,total_plays,unique_artists,unique_tracks,artist_diversity,track_diversity,listening_span_days,first_listen,last_listen,plays_per_day,top_artist_concentration,age,is_male,is_female,kmeans_cluster,behavior_group
user_000001,16213,412,2821,0.02541170665515327,0.1739961759082218,995,2006-08-13 13:59:20+00:00,2009-05-04 23:08:57+00:00,16.278112449799195,0.052735459199407884,22.5,1,0,1,Balanced Listeners
user_000002,56999,1031,7875,0.018088036632221617,0.13816031860208075,1159,2006-02-24 18:05:42+00:00,2009-04-28 18:41:35+00:00,49.137068965517244,0.04229898770153862,22.5,0,1,2,Power Focused
user_000003,19013,690,4301,0.036290958817651084,0.22621364329669175,1268,2005-10-30 22:23:21+00:00,2009-04-21 16:56:35+00:00,14.982663514578409,0.04707305527796771,22.0,1,0,1,Balanced Listeners
user_000004,17640,1284,5452,0.0727891156462585,0.3090702947845805,730,2007-04-19 19:15:15+00:00,2009-04-19 13:52:05+00:00,24.131326949384405,0.03072562358276644,22.5,0,1,3,Balanced Listeners
user_000005,19633,639,1524,0.032547241888656854,0.07762440788468394,996,2006-08-12 16:36:44+00:00,2009-05-04 21:54:33+00:00,19.69207622868606,0.09703050985585494,22.5,1,0,1,Balanced Listeners
user_000006,27742,1054,6877,0.0379929349001514,0.2478912839737582,1080,2006-05-18 23:45:22+00:00,2009-05-03 20:14:48+00:00,25.66327474560592,0.03810107418354841,24.0,0,0,3,Balanced Listeners
user_000007,2008,232,807,0.11553784860557768,0.40189243027888444,1195,2006-01-23 08:13:39+00:00,2009-05-03 00:48:08+00:00,1.6789297658862876,0.09063745019920319,22.5,0,1,3,Casual Explorers
user_000008,37147,104,554,0.002799687727138127,0.014913721161870407,129,2008-12-21 02:41:01+00:00,2009-04-29 10:10:00+00:00,285.74615384615385,0.7132742886370367,23.0,1,0,0,Power Focused
user_000009,5029,458,2410,0.09107178365480215,0.47922052097832574,841,2007-01-13 19:13:49+00:00,2009-05-04 10:53:47+00:00,5.972684085510688,0.12149532710280374,19.0,0,1,3,Casual Explorers
user_000010,6291,287,716,0.0456207280241615,0.1138133841996503,785,2007-03-11 13:20:20+00:00,2009-05-04 20:03:14+00:00,8.00381679389313,0.1235097758702909,19.0,1,0,1,Balanced Listeners
user_000011,16887,419,7319,0.024811985551015575,0.4334103156274057,1354,2005-09-22 20:02:48+00:00,2009-06-08 11:53:00+00:00,12.462730627306273,0.03807662699117664,21.0,1,0,1,Balanced Listeners
user_000012,73859,1670,11228,0.022610650022339862,0.15201938829391137,1473,2005-04-17 06:20:18+00:00,2009-04-29 15:59:01+00:00,50.1078697421981,0.06688419826967601,28.0,0,1,2,Power Focused
user_000013,8648,434,2878,0.050185013876040706,0.33279370952821463,350,2006-12-22 18:07:11+00:00,2007-12-07 18:08:04+00:00,24.63817663817664,0.04579093432007401,25.0,0,1,3,Balanced Listeners
user_000014,341,100,268,0.2932551319648094,0.7859237536656891,917,2006-10-26 17:50:31+00:00,2009-05-01 00:45:51+00:00,0.37145969498910675,0.10557184750733138,22.5,0,0,4,Casual Explorers
user_000015,13558,438,1973,0.03230564980085558,0.14552293848650244,448,2008-02-10 20:51:14+00:00,2009-05-04 20:00:44+00:00,30.19599109131403,0.06439002802773271,21.0,0,0,0,Balanced Listeners
user_000016,21641,1137,6731,0.05253916177625803,0.3110299893720253,1363,2005-08-05 15:50:23+00:00,2009-04-29 17:47:50+00:00,15.8658357771261,0.020609029157617486,22.5,1,0,1,Power Explorers
user_000017,17933,1666,10437,0.09290135504377404,0.5819996654212903,616,2007-08-27 16:29:16+00:00,2009-05-04 18:25:47+00:00,29.06482982171799,0.01572519935314783,22.0,1,0,3,Balanced Listeners
user_000018,11672,140,1104,0.011994516792323509,0.09458533241946539,1341,2005-08-26 14:42:57+00:00,2009-04-28 21:25:28+00:00,8.697466467958272,0.17194996572995203,22.0,0,0,1,Casual Focused
