userid,kmeans_cluster,bicluster
user_000001,4,0
user_000002,2,0
user_000003,4,0
user_000004,3,0
user_000005,4,0
user_000006,2,0
user_000007,3,0
user_000008,0,2
user_000009,3,0
user_000010,4,0
user_000011,4,0
user_000012,2,0
user_000013,3,0
user_000014,1,0
user_000015,3,0
user_000016,4,0
user_000017,1,0
user_000018,4,0
user_000019,2,0
user_000020,3,0
user_000021,2,3
user_000022,2,3
user_000023,3,0
user_000024,2,0
user_000025,2,0
user_000026,4,0
user_000027,4,0
user_000028,4,0
user_000029,2,0
user_000030,3,3
user_000031,2,0
user_000032,4,0
user_000033,2,1
user_000034,2,0
user_000035,1,3
user_000036,3,0
user_000037,1,0
user_000038,4,0
user_000039,4,0
user_000040,3,0
user_000041,1,0
